cgpa,placement_exam_marks,college_tier,internship_experience,placement
7.19,26.0,Tier 2,1,0
7.46,38.0,Tier 3,1,1
7.54,40.0,Tier 1,0,0
6.42,8.0,Tier 3,0,1
7.23,17.0,Tier 2,0,1
7.3,23.0,Tier 1,0,0
6.69,11.0,Tier 3,1,0
7.12,39.0,Tier 3,1,1
6.45,38.0,Tier 3,0,0
7.75,94.0,Tier 3,1,1
6.82,16.0,Tier 3,1,1
6.38,7.0,Tier 3,0,0
6.58,16.0,Tier 1,0,1
5.68,26.0,Tier 1,0,1
7.91,43.0,Tier 1,0,0
7.1,21.0,Tier 2,0,1
6.53,19.0,Tier 1,0,0
7.56,22.0,Tier 3,0,1
6.93,27.0,Tier 1,0,0
7.63,29.0,Tier 2,1,1
6.69,47.0,Tier 1,0,1
7.43,33.0,Tier 2,1,1
6.76,54.0,Tier 2,0,1
6.05,11.0,Tier 1,1,0
6.44,11.0,Tier 2,0,0
6.28,58.0,Tier 3,0,0
7.45,8.0,Tier 2,1,0
6.53,46.0,Tier 1,1,1
7.23,19.0,Tier 3,1,0
6.51,15.0,Tier 2,0,1
7.46,16.0,Tier 3,0,1
7.66,44.0,Tier 2,1,1
5.91,11.0,Tier 2,1,0
6.23,27.0,Tier 3,1,1
8.15,9.0,Tier 2,1,1
7.48,12.0,Tier 3,0,0
6.85,16.0,Tier 1,1,1
8.51,9.0,Tier 2,0,1
6.58,20.0,Tier 2,0,0
7.25,17.0,Tier 2,0,1
6.6,86.0,Tier 2,1,0
6.7,38.0,Tier 2,0,0
7.46,71.0,Tier 2,0,0
7.85,63.0,Tier 2,1,0
7.88,55.0,Tier 1,0,0
6.92,10.0,Tier 2,1,0
7.3,15.0,Tier 1,0,1
6.92,46.0,Tier 1,0,0
6.29,42.0,Tier 3,1,1
8.23,28.0,Tier 2,0,1
6.2,18.0,Tier 1,0,0
6.24,28.0,Tier 1,0,0
7.53,27.0,Tier 3,0,0
6.69,33.0,Tier 2,1,0
8.42,36.0,Tier 1,1,1
8.12,15.0,Tier 1,1,1
6.93,15.0,Tier 3,0,0
7.73,24.0,Tier 2,1,1
7.34,43.0,Tier 1,1,0
7.7,32.0,Tier 3,1,0
7.94,31.0,Tier 3,0,1
7.51,86.0,Tier 2,0,0
7.61,22.0,Tier 3,0,0
6.22,26.0,Tier 2,1,1
6.98,52.0,Tier 1,1,0
6.27,28.0,Tier 2,1,1
6.67,31.0,Tier 2,0,1
8.04,18.0,Tier 3,1,0
6.58,30.0,Tier 3,1,0
7.41,44.0,Tier 2,0,0
6.98,17.0,Tier 2,0,0
6.13,20.0,Tier 1,1,0
7.9,19.0,Tier 1,1,1
6.39,12.0,Tier 1,1,0
6.16,3.0,Tier 2,0,0
6.77,56.0,Tier 1,1,1
8.35,12.0,Tier 2,0,1
7.1,28.0,Tier 3,0,1
8.2,12.0,Tier 2,0,0
7.63,19.0,Tier 1,1,1
6.87,46.0,Tier 3,1,1
7.12,44.0,Tier 2,1,1
7.22,12.0,Tier 2,0,0
7.38,20.0,Tier 3,1,1
5.65,35.0,Tier 2,0,0
6.03,28.0,Tier 3,1,0
7.19,22.0,Tier 1,0,0
6.96,19.0,Tier 3,0,0
6.78,39.0,Tier 2,0,1
6.56,17.0,Tier 1,0,1
7.61,15.0,Tier 3,1,1
7.42,6.0,Tier 3,1,0
6.48,63.0,Tier 3,0,0
7.0,30.0,Tier 2,1,1
7.15,21.0,Tier 2,0,0
6.89,35.0,Tier 3,1,0
7.09,28.0,Tier 3,1,1
7.33,52.0,Tier 3,1,0
8.12,76.0,Tier 2,0,1
7.46,23.0,Tier 1,1,0
6.56,46.0,Tier 1,1,0
6.48,26.0,Tier 3,0,0
5.92,22.0,Tier 2,0,1
6.44,18.0,Tier 2,1,1
6.82,47.0,Tier 1,1,1
6.72,12.0,Tier 1,1,1
6.59,22.0,Tier 2,1,0
7.32,9.0,Tier 2,1,1
5.94,10.0,Tier 3,0,0
7.23,21.0,Tier 3,0,1
6.96,31.0,Tier 1,0,0
6.48,33.0,Tier 3,1,1
7.23,15.0,Tier 1,0,0
7.24,10.0,Tier 1,1,1
6.3,77.0,Tier 3,1,1
7.28,37.0,Tier 2,1,1
7.16,21.0,Tier 1,0,0
7.11,0.0,Tier 3,1,1
6.9,54.0,Tier 1,0,0
7.0,39.0,Tier 2,1,1
6.99,46.0,Tier 2,0,1
5.91,27.0,Tier 2,0,1
5.97,51.0,Tier 1,1,1
6.25,52.0,Tier 2,0,0
6.2,30.0,Tier 1,0,1
7.46,55.0,Tier 1,1,1
7.16,37.0,Tier 3,1,0
6.95,23.0,Tier 3,1,1
6.76,25.0,Tier 1,1,0
6.81,39.0,Tier 2,1,1
5.91,53.0,Tier 2,0,0
8.19,19.0,Tier 2,1,1
7.71,18.0,Tier 1,0,1
7.65,64.0,Tier 2,1,1
6.33,93.0,Tier 3,1,1
6.63,47.0,Tier 2,0,1
7.28,15.0,Tier 3,0,0
5.69,53.0,Tier 2,1,1
7.53,8.0,Tier 3,0,0
8.09,5.0,Tier 3,1,1
6.85,22.0,Tier 2,1,1
7.19,18.0,Tier 2,1,1
7.66,41.0,Tier 3,0,0
6.32,33.0,Tier 2,1,0
6.67,17.0,Tier 3,1,1
7.08,28.0,Tier 1,1,0
6.75,22.0,Tier 1,1,0
6.68,11.0,Tier 1,1,0
6.86,49.0,Tier 3,1,1
6.81,58.0,Tier 1,0,1
8.53,22.0,Tier 1,1,1
7.29,16.0,Tier 1,1,1
7.78,56.0,Tier 3,0,0
6.29,10.0,Tier 1,1,1
7.57,54.0,Tier 3,1,1
7.84,12.0,Tier 2,1,0
6.4,34.0,Tier 3,0,0
7.07,81.0,Tier 2,0,0
5.74,50.0,Tier 2,1,1
6.7,22.0,Tier 3,1,1
7.36,10.0,Tier 2,0,0
6.26,52.0,Tier 3,1,0
7.8,90.0,Tier 1,1,0
6.77,42.0,Tier 3,1,1
6.29,34.0,Tier 1,1,0
7.53,7.0,Tier 1,0,1
7.76,59.0,Tier 2,0,1
6.65,48.0,Tier 1,0,0
6.51,37.0,Tier 2,1,0
6.19,16.0,Tier 1,0,0
6.17,37.0,Tier 2,0,1
6.2,38.0,Tier 3,0,1
7.24,43.0,Tier 2,1,1
6.71,48.0,Tier 3,1,1
7.31,21.0,Tier 1,0,0
7.57,26.0,Tier 2,0,1
7.72,30.0,Tier 2,1,1
6.22,40.0,Tier 2,0,0
7.51,39.0,Tier 2,0,1
6.4,45.0,Tier 2,0,1
7.18,29.0,Tier 1,0,1
7.3,42.0,Tier 1,0,1
6.87,76.0,Tier 1,0,1
6.11,18.0,Tier 2,0,1
7.78,33.0,Tier 3,1,0
7.3,31.0,Tier 1,0,0
6.97,63.0,Tier 2,1,1
6.63,10.0,Tier 3,1,0
5.92,55.0,Tier 3,0,0
6.63,9.0,Tier 3,1,0
7.54,23.0,Tier 2,0,0
6.63,8.0,Tier 3,1,1
6.67,38.0,Tier 1,0,1
6.31,14.0,Tier 1,0,0
8.19,33.0,Tier 2,0,0
6.71,44.0,Tier 3,1,0
7.28,34.0,Tier 1,1,1
6.75,27.0,Tier 2,1,1
8.29,44.0,Tier 3,0,0
7.43,25.0,Tier 1,1,1
5.77,22.0,Tier 1,0,1
6.67,15.0,Tier 2,1,1
6.51,48.0,Tier 2,0,1
7.93,52.0,Tier 3,0,0
7.01,5.0,Tier 2,0,1
6.99,47.0,Tier 2,0,0
7.5,25.0,Tier 1,1,1
7.05,16.0,Tier 3,0,1
7.25,12.0,Tier 2,1,1
6.88,35.0,Tier 2,0,1
6.58,19.0,Tier 3,1,0
7.36,14.0,Tier 3,0,0
6.23,57.0,Tier 2,0,1
6.62,19.0,Tier 2,1,1
7.42,60.0,Tier 2,0,0
7.72,22.0,Tier 2,0,0
5.42,36.0,Tier 1,1,0
6.92,16.0,Tier 2,1,1
6.62,52.0,Tier 1,0,1
5.48,3.0,Tier 1,0,0
7.75,16.0,Tier 2,1,1
6.78,24.0,Tier 3,0,1
6.97,78.0,Tier 2,0,1
6.15,11.0,Tier 1,0,0
7.15,19.0,Tier 1,1,1
7.36,13.0,Tier 3,1,1
6.79,21.0,Tier 2,0,0
7.03,19.0,Tier 3,0,1
7.61,15.0,Tier 3,0,1
6.68,13.0,Tier 3,1,1
7.12,14.0,Tier 1,0,1
6.4,35.0,Tier 1,0,1
7.77,34.0,Tier 1,1,0
7.25,41.0,Tier 2,0,0
8.09,36.0,Tier 2,1,0
